,Make,Model,Price,Year,Transmission,Listing Type,Body Type,Fuel Type,Engine Capacity - Cc,Engine Power - KW
211,CHRYSLER, LEBARON Medallion,37000,1978,Automatic,Used,Hardtop - Coupe,Premium Unleaded,225,67kw
212,FORD, ECONOLINE 351 Windsor V8,43000,1982,Automatic,Used,Van,LPG,,
213,FORD, FALCON XW GT,159995,1970,Manual,Used,Sedan,Unleaded,,282
214,FORD, MUSTANG,45000,1973,Automatic,Used,Convertible,Unleaded,,
215,NISSAN, 300ZX Fairlady Z,55000,1994,Manual,Used,Targa,Unleaded,6,215
216,FORD, MUSTANG Boss 302,139500,1970,Manual,Used,Fastback,Premium Unleaded,4949,216
217,FORD, CORTINA MK2,95000,1970,Manual,Used,Hardtop - Coupe,Premium Unleaded,1600,90
218,FORD, FAIRLANE Galaxy Skyliner,88000,1959,Automatic,Used,Convertible,Unleaded,,
219,TOYOTA, COROLLA ZZE123 Sportivo,14000,2003,Manual,Used,Hatchback,Premium Unleaded,1800,114
220,HSV, GTSR 2,210000,2017,Automatic,Used,Sedan,Premium Unleaded,6162,435
221,FORD, MUSTANG GT FN Fastback,68990,2018,Manual,Used,Hardtop - Coupe,Premium Unleaded,,
222,CITROEN, CX 2500 Gti,22500,1985,Automatic,Used,Fastback,Unleaded,2500,101KW
223,FORD, ECONOLINE 351 Windsor V8,43000,1982,Automatic,Used,Van,LPG,,
224,CHEVROLET, CHEVELLE,48000,1970,Automatic,Used,Hardtop - Coupe,Premium Unleaded,5700,
225,TOYOTA, CROWN S SPORTS SEDAN,,1965,,Used,Sedan,,,
226,HOLDEN, CAMIRA,,,,Used,Sedan,,,
227,LINCOLN, MKVII,30000,1988,Automatic,Used,Hardtop - Coupe,Premium Unleaded,5,5
228,HOLDEN, MONARO CV8,,2002,Manual,Used,Hardtop - Coupe,,,
229,TOYOTA, CROWN DELUXE CUSTOM,,1964,,Used,Hardtop - Coupe,,,
230,HOLDEN, HR,20000,,Manual,Used,Sedan,Leaded Petrol,,
231,CADILLAC, COUPE DE VILLE,,1972,,Used,Hardtop - Coupe,,,
232,CHEVROLET, CORVETTE,99990,1964,,Used,Roadster,Unleaded,5360,0
233,HSV, CLUBSPORT VT II,39990,1999,,Used,Sedan,,,
234,VOLKSWAGEN, TRANSPORTER TDI 340,18990,2012,Automatic,Used,Van,Diesel,2000,
235,MERCEDES-BENZ, E350,12500,2007,Automatic,Used,Sedan,Leaded Petrol,,
236,HOLDEN, STATESMAN WM,14999,2008,Automatic,Used,Cab Chassis,Premium Unleaded,,195
237,FORD, MUSTANG,42900,1965,,Used,Hardtop - Coupe,,,
238,BMW, 520D,34990,2011,,Used,Sedan,,,
239,FORD, F250,134990,2014,Automatic,Used,Ute,Diesel,,
240,FORD, LTD,10000,1987,,Used,Sedan,Unleaded,,
241,HSV, GTS Gen F,124988,2013,Manual,Used,Sedan,Premium Unleaded,,
242,MERCEDES-BENZ, C250 CDI,22990,2012,,Used,Hardtop - Coupe,,,
243,MERCEDES-BENZ, 450SL,24990,1979,Automatic,Used,Convertible,Unleaded,,
244,JAGUAR, 3.8 MKII,40000,1964,Automatic,Used,Sedan,,,
245,HYUNDAI, ILOAD TQ2-V,37990,2015,Automatic,Used,Van,Diesel,2500,
246,VOLKSWAGEN, TRANSPORTER 132 TDI LWB T5,26990,2012,Automatic,Used,Ute,Diesel,2000,
247,CHEVROLET, CORVETTE C2 STINGRAY,249990,1965,Manual,Used,Hardtop - Coupe,Leaded Petrol,6492,
248,MASERATI, INDY,126500,1971,,Used,Hardtop - Coupe,,,
249,JAGUAR, E-TYPE 1,259900,1965,Manual,Used,Hardtop - Coupe,,,
250,MERCEDES-BENZ, CLS 400,54990,2015,Automatic,Used,Hardtop - Coupe,Premium Unleaded,2996,
